t,x,y,yaw
1789976352.5401442,1.7323522802770952,1.941222749726268,3.005978933898522
1789976352.6412427,1.7323522802770952,1.941222749726268,3.005978933898522
1789976352.7404222,1.7323522802770952,1.941222749726268,3.005978933898522
1789976352.8408387,1.7323522802770952,1.941222749726268,3.005978933898522
1789976352.941251,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.0413575,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.1405585,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.2396328,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.3405077,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.4396951,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.5397532,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.6403859,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.7402396,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.8402674,1.7323522802770952,1.941222749726268,3.005978933898522
1789976353.9407465,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.0396774,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.1396787,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.2403972,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.3402798,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.4401858,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.539836,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.6395648,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.7404506,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.8405144,1.7323522802770952,1.941222749726268,3.005978933898522
1789976354.940354,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.0398388,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.139916,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.2396955,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.33954,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.439688,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.5398016,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.6400914,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.740925,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.8399065,1.7323522802770952,1.941222749726268,3.005978933898522
1789976355.9396048,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.0405374,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.1410644,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.2398007,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.3397138,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.4407704,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.5396202,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.6403615,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.7402203,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.8403065,1.7323522802770952,1.941222749726268,3.005978933898522
1789976356.9402452,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.0401063,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.1400568,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.2409234,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.340781,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.4398055,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.5397975,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.6409686,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.7405367,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.8416743,1.7323522802770952,1.941222749726268,3.005978933898522
1789976357.9402869,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.040384,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.1403115,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.2401302,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.3405974,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.4408126,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.5406613,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.6397867,1.7323522802770952,1.941222749726268,3.005978933898522
1789976358.7408335,1.7323522802770952,1.941222749726268,2.9899789335110913
1789976358.8412223,1.7323522802770952,1.941222749726268,2.9581026540973916
1789976358.9412382,1.7323522802770952,1.941222749726268,2.9103615732768313
1789976359.0414193,1.7323522802770952,1.941222749726268,2.8466204898336667
1789976359.1413805,1.7323522802770952,1.941222749726268,2.76700992452891
1789976359.2412598,1.7323522802770952,1.941222749726268,2.6713993566015493
1789976359.3411107,1.7323522802770952,1.941222749726268,2.5713993536213167
1789976359.441099,1.7323522802770952,1.941222749726268,2.471399350641084
1789976359.5413084,1.7323522802770952,1.941222749726268,2.3713993476608515
1789976359.6413348,1.7323522802770952,1.941222749726268,2.271399344680619
1789976359.7415175,1.7252880295223068,1.951535186939336,2.1713993417003863
1789976359.8414588,1.7132891634183771,1.973467519515238,2.0713993387201537
1789976359.9404893,1.7028844630276623,1.9972948601177558,1.9825104491689913
1789976360.0412977,1.6946360384004455,2.0219517747985924,1.893621559617829
1789976360.1409712,1.6886090193747019,2.047243571731042,1.8047326700666666
1789976360.2406554,1.6848509954951454,2.0729705460368093,1.7158437805155042
1789976360.3412461,1.6833916402445854,2.0989295566624397,1.626954890964342
1789976360.440484,1.6840751656653201,2.124920569405466,1.5445038573721177
1789976360.5404272,1.6864830412871272,2.1508088309422866,1.4780528264024981
1789976360.641408,1.6897811889945122,2.1765987935655478,1.443601796207739
1789976360.7407305,1.6931425387320729,2.2023805948670616,1.441150765111459
1789976360.8397043,1.6957407063175598,2.2282504513723973,1.4706997342312462
1789976360.9400947,1.697251874544395,2.2542064973154745,1.5126416958773259
1789976361.0407424,1.6980461760767687,2.280194360549773,1.5402415126466875
1789976361.1407654,1.6983706655086446,2.3061923346442583,1.5583156395608313
1789976361.240431,1.6983836356213502,2.33219233045551,1.5702974762672313
1789976361.339774,1.6981835016260063,2.3581915592285494,1.5784938644522555
1789976361.4399726,1.6978311387124645,2.3841891704800875,1.5843491619357597
1789976361.5406933,1.6973662345402618,2.4101850127345634,1.5886782101260246
1789976361.6405654,1.6968129724543939,2.4361791245961615,1.5920772448086857
1789976361.7395415,1.6961829556401606,2.4621714894216775,1.5950301155352717
1789976361.8406787,1.6957581341218442,2.4881680175953877,1.587136343670798
1789976361.9407358,1.6954517183366047,2.514166210989843,1.5825818225646142
1789976362.040271,1.6951928571363473,2.5401649213672433,1.5807526916635908
1789976362.1408253,1.6949388234093512,2.5661636793620874,1.5805670105756946
1789976362.2399926,1.6946670866164517,2.592162258352569,1.5812479325707756
1789976362.3403678,1.6943540338442014,2.6181603726759337,1.5828371094211686
1789976362.4399052,1.6939936510204912,2.644157873991047,1.58465764901114
1789976362.5407007,1.6935730364976826,2.6701544705727565,1.5869745147552086
1789976362.640153,1.6930919390596013,2.696150018185069,1.5893011311672378
1789976362.7404993,1.6925393376136972,2.7221441440994156,1.592051829830532
1789976362.8405187,1.6919167380972153,2.748136687650423,1.5947447520352647
1789976362.9407103,1.6915588151429177,2.7741342229483648,1.584563029617791
1789976363.0397608,1.6913395071289468,2.8001332970550314,1.579231350743001
1789976363.1402478,1.6911677328387884,2.8261327286642453,1.577403078567957
1789976363.2406466,1.690999969819214,2.852132186465865,1.577248795635322
1789976363.3396475,1.6907995762330728,2.878131413239359,1.5785038490102385
1789976363.4414046,1.6905373655259979,2.904130090050959,1.5808815253221191
1789976363.539731,1.6902128216526418,2.9301280634658853,1.5832791080952386
1789976363.6396723,1.6897984300707969,2.9561247599872864,1.586735139998863
1789976363.7400496,1.6892977329363807,2.982119937478285,1.5900551000864012
1789976363.841585,1.68870772443487,3.008113241238621,1.5934909103692274
1789976363.9397752,1.6884852626602718,3.0341122885513165,1.5793526536107763
1789976364.0394194,1.6884253946350047,3.060112218671001,1.5730989452705488
1789976364.1405895,1.6884394573723964,3.0861122139142383,1.5702554522336225
1789976364.2401462,1.6884700009291511,3.112112195020002,1.5696215742987345
1789976364.340132,1.6884584877659503,3.1381121915172328,1.5712391407948683
